,name,description
136,Coinzo,"Coinzo is the crypto currency exchage that gives world class service as a standart. Distributing Neo-Gas ""daily"", improved api service, 24/7 expert customer support, multi-layered security architecture, supporting 6 different assets in 3 pair, own crypto currency to fee discount are some features of Coinzo."
137,Binance Futures,"Binance Futures is a derivative exchange made by Binance.
<br> <br>

Exchange assets (transparency): <br>
$64 347 847 648 - according to nansen.ai, <br>
$64 919 963 999 - according to defillama.com
<br> <br>
Disclaimer - data is sourced from third-party and static at the current moment, we don't know about distribution of funds, it's relayed from exchanges, thus 3rd-party full independent audits is required for full picture"
138,NexDAX,"NexDAX is setting the gold standard for the exchange of the future. Easy to use for the beginner and powerful enough for the most experienced trader. NexDAX offers features never seen before. NexDAX does everything our competitors do, we just do it bigger, faster and better.
We formed based on a diverse group of thinkers and doers that are dedicated to making cryptocurrency available and accessible to our value users, investors and clients to enjoy the trading and other crypto services here.
We support multiple languages through various channels, mainly English and offer a wide range of derivatives; whether you are day trading, investing or hedging you will find the best tools to compliment your trading strategy. Earn money by simply moving your trading account to NexDAX and purchasing NT coin."
139,ApolloX,"ApolloX was founded by professionals from traditional financial institutions, tech companies and top crypto exchanges. We want to make crypto accessible to everyone in the public, not only traders and quants. There is always room for more users to enter the crypto space and we
would like to assist in making that possible. At the same time, we aim to bring trustworthiness and customer-centricity in the crypto industry. That's why we created ApolloX - everyone’s preferred crypto exchange."
140,CoinW,
141,Cex-Trade,"Cex-Trade, most technically equipped cryptocurrency exchange established in 2022"
142,Dach Exchange,"Dach Exchange platform is a cryptocurrency exchange where traders can trade various cryptocurrencies listed on Dach Exchange.
Security, reliability and innovation are highly valuated on Dach Exchange."
143,Dove Wallet,"DoveWallet is a market place for our crypto users who wants benefit the advantage of regular income through our daily bonus program. User can manage their portfolios through our wallet service and trade tokens on our exchange. We also have Banxa, Simplex payment service and lots of other fiat pairs as well."
144,BW,
145,EtherMium,"EtherMium is an Ethereum-based cryptocurrency exchange platform that operates cryptocurrency pairs and tokens with an ERC20 standard compliance. EtherMium prioritizes on safety; therefore, it does not hold any of the funds. The funds are stored on smart contracts, which act as bank accounts; This implies that the smart contract will monitor transactions and facilitate the transactions."
146,55 Global Markets,
147,ZEBITEX,"Located in France, Digital Service is offering crypto-currency services since 2014. More than 95% of cryptocurrencies from ZEBITEX are stored on Ledger Vault."
148,BOMESP Global,
149,StealthEX,"StealthEX is an instant cryptocurrency exchange for limitless swaps. Our service is free from registration and does not store user’s funds on the platform. StealthEX is the best place to buy cryptocurrency.

400+ coins and tokens are available for quick and easy exchanges. Privacy and security of the users are the most important points of our work, so all the swaps are non-custodial, and forever will be."
150,Coindirect,"Coindirect is the way to buy and sell the world's most valuable digital currencies, with a single wallet, all in one place. Whether you're looking to spend or save, convert your coins or build out an investment portfolio, there's a currency waiting for you.
To make sure Coindirect comply with international standards in terms of AML and CFT, company is registered as a designated business with the Isle of Man Financial Services Authority."
151,YoBit,"Yobit was founded in 2014. It has many cryptocurrencies on available to exchange including Bitcoin, Litecoin, Ethereum and Dogecoin. Yobit perpetuate their own ""Pump"" activities."
152,InfinityCoin Exchange,InfinityCoin Exchange is a cryptocurrency exchange registered in the British Virgin Islands. It offers trading in two cryptocurrencies: BTC and the InfinityCoin (XIN). This trading venue does not accept any other deposit method than cryptocurrencies. 
153,Cryptox,Cryptox is a Polish cryptocurrency exchange. This exchange allows only deposits in cryptocurrencies.
154,PARS,First International Iranian User to User Exchange.
155,CITEX,CITEX is a world leading digital asset trading platform and top POW coin trading platform.
156,Bitinka,"BitInka is a trading platform founded in 2013 with more than 60 trading pairs for Bitcoin, Ethereum, Dash, Ripple and other cryptocurrencies, which allow the users to buy and sell in more than 10 different currencies from America, Europe and Asia."
157,CrossTower,"CrossTower is on a mission to mainstream digital asset investing and trading.

We believe that bringing the advanced trading tools, rigorous security, compliance safeguards, price efficiencies, and support models from the global equity markets into digital assets will make this a reality."
158,Curve Finance (Avalanche),
159,Safecrex,Safecrex Cryptocurrency Exchange
160,Bithesap,Bithesap is an entry level Turkish cryptocurrency exchange that offer trading in Bitcoin and Litecoin. The company behind this project is based in Istanbul and named 'Online People Internet Technologies AS'.
161,BYDFi (Spot),
162,TradeOgre,"TradeOgre is a digital assets exchange, which supports alternative coins with various privacy functions."
163,Nacdaq,"Launched in 28.07.2018, Nacdaq is a centralized exchange platform located in China at 7/F MW TOWER 111, BONHAM STRAND, SNEUNG WAN, HONG KONG. NACDAQ is a platform on which transactions with digital assets and related services are performed. The platform is intended only to obtain information about digital assets, search for trading counterparties, conduct negotiations and conclude transactions with digital assets. NACDAQ does not participate in digital asset transactions as a buyer or seller and does not provide any services related to the replenishment and withdrawal of legally allowed currencies of any country. Fiat pairs, deposits, etc. are not supported."
